Region_name_en,Region_Name_fr,Week_Number,Begin_of_Week_Date,End_of_Week_Date,Activity_Level,PR_HRUID
Region 7,Région de santé publique 7,202336,2023-09-03,2023-09-09,1,1307
Nord-est,Nord-est,202336,2023-09-03,2023-09-09,2,2410
Québec et Chaudieres-Appalaches,Québec et Chaudieres-Appalaches,202336,2023-09-03,2023-09-09,2,2412
Centre-du-Québec,Centre-du-Québec,202336,2023-09-03,2023-09-09,1,2404
Montréal et Laval,Montréal et Laval,202336,2023-09-03,2023-09-09,2,2413
Ouest-du-Québec,Ouest-du-Québec,202336,2023-09-03,2023-09-09,1,2414
Montérégie,Montérégie,202336,2023-09-03,2023-09-09,2,2416
Central East,Centre-Est,202336,2023-09-03,2023-09-09,2,3570
Central West,Centre-Ouest,202336,2023-09-03,2023-09-09,2,3527
Eastern,Est,202336,2023-09-03,2023-09-09,2,3551
North East,Nord-Est,202336,2023-09-03,2023-09-09,2,3547
North West,Nord-Ouest,202336,2023-09-03,2023-09-09,2,3549
South West,Sud-Ouest,202336,2023-09-03,2023-09-09,2,3531
Toronto,Toronto,202336,2023-09-03,2023-09-09,2,3595
North,Nord,202336,2023-09-03,2023-09-09,1,4708
Central,Centre,202336,2023-09-03,2023-09-09,1,4705
South,Sud,202336,2023-09-03,2023-09-09,1,4701
North Zone,Du nord,202336,2023-09-03,2023-09-09,1,4835
Edmonton,Edmonton,202336,2023-09-03,2023-09-09,2,4834
Central Zone,Centre,202336,2023-09-03,2023-09-09,2,4833
Calgary,Calgary,202336,2023-09-03,2023-09-09,2,4832
South Zone,Du sud,202336,2023-09-03,2023-09-09,1,4831
Interior,Intérieur,202336,2023-09-03,2023-09-09,1,5911
Fraser,Fraser,202336,2023-09-03,2023-09-09,2,5921
Vancouver Coastal,Vancouver Coastal,202336,2023-09-03,2023-09-09,2,5931
Vancouver Island,Île de Vancouver,202336,2023-09-03,2023-09-09,2,5941
Northern,Nord,202336,2023-09-03,2023-09-09,1,5951
Yukon,Yukon,202336,2023-09-03,2023-09-09,2,6001
North,Région nord des TNO,202336,2023-09-03,2023-09-09,1,6101
South,Région sud des TNO,202336,2023-09-03,2023-09-09,1,6103
Qikiqtaaluk,Qikiqtaaluk,202336,2023-09-03,2023-09-09,1,6204
Kivalliq,Kivalliq,202336,2023-09-03,2023-09-09,1,6205
Kitimeot,Kitimeot,202336,2023-09-03,2023-09-09,1,6208
Eastern,Est,202337,2023-09-10,2023-09-16,1,1011
Labrador-Grenfell,Grenfell Labrador,202337,2023-09-10,2023-09-16,1,1014
Central,Centre,202337,2023-09-10,2023-09-16,1,1012
Western,Ouest,202337,2023-09-10,2023-09-16,1,1013
Zone 1 - Western,Zone 1 - Ouest,202337,2023-09-10,2023-09-16,1,1211
Zone 2 - Northern,Zone 2 - Nord,202337,2023-09-10,2023-09-16,1,1234
Zone 3 - Eastern,Zone 3 - Est,202337,2023-09-10,2023-09-16,1,1247
Zone 4 - Central,Zone 4 - Centrale,202337,2023-09-10,2023-09-16,1,1269
Region 1,Région de santé publique 1,202337,2023-09-10,2023-09-16,1,1301
Region 2,Région de santé publique 2,202337,2023-09-10,2023-09-16,1,1302
Region 3,Région de santé publique 3,202337,2023-09-10,2023-09-16,1,1303
Region 4,Région de santé publique 4,202337,2023-09-10,2023-09-16,1,1304
Region 5,Région de santé publique 5,202337,2023-09-10,2023-09-16,1,1305
Region 6,Région de santé publique 6,202337,2023-09-10,2023-09-16,2,1306
Region 7,Région de santé publique 7,202337,2023-09-10,2023-09-16,1,1307
Nord-est,Nord-est,202337,2023-09-10,2023-09-16,2,2410
Québec et Chaudieres-Appalaches,Québec et Chaudieres-Appalaches,202337,2023-09-10,2023-09-16,2,2412
Centre-du-Québec,Centre-du-Québec,202337,2023-09-10,2023-09-16,2,2404
Montréal et Laval,Montréal et Laval,202337,2023-09-10,2023-09-16,2,2413
Ouest-du-Québec,Ouest-du-Québec,202337,2023-09-10,2023-09-16,2,2414
Montérégie,Montérégie,202337,2023-09-10,2023-09-16,2,2416
Central East,Centre-Est,202337,2023-09-10,2023-09-16,2,3570
Central West,Centre-Ouest,202337,2023-09-10,2023-09-16,2,3527
Eastern,Est,202337,2023-09-10,2023-09-16,2,3551
North East,Nord-Est,202337,2023-09-10,2023-09-16,1,3547
North West,Nord-Ouest,202337,2023-09-10,2023-09-16,1,3549
South West,Sud-Ouest,202337,2023-09-10,2023-09-16,2,3531
Toronto,Toronto,202337,2023-09-10,2023-09-16,2,3595
North,Nord,202337,2023-09-10,2023-09-16,1,4708
Central,Centre,202337,2023-09-10,2023-09-16,1,4705
South,Sud,202337,2023-09-10,2023-09-16,1,4701
North Zone,Du nord,202337,2023-09-10,2023-09-16,2,4835
Edmonton,Edmonton,202337,2023-09-10,2023-09-16,2,4834
Central Zone,Centre,202337,2023-09-10,2023-09-16,2,4833
Calgary,Calgary,202337,2023-09-10,2023-09-16,2,4832
South Zone,Du sud,202337,2023-09-10,2023-09-16,1,4831
Interior,Intérieur,202337,2023-09-10,2023-09-16,2,5911
Fraser,Fraser,202337,2023-09-10,2023-09-16,2,5921
Vancouver Coastal,Vancouver Coastal,202337,2023-09-10,2023-09-16,2,5931
Vancouver Island,Île de Vancouver,202337,2023-09-10,2023-09-16,3,5941
Northern,Nord,202337,2023-09-10,2023-09-16,2,5951
Yukon,Yukon,202337,2023-09-10,2023-09-16,2,6001
North,Région nord des TNO,202337,2023-09-10,2023-09-16,1,6101
South,Région sud des TNO,202337,2023-09-10,2023-09-16,1,6103
Qikiqtaaluk,Qikiqtaaluk,202337,2023-09-10,2023-09-16,1,6204
Kivalliq,Kivalliq,202337,2023-09-10,2023-09-16,1,6205
Kitimeot,Kitimeot,202337,2023-09-10,2023-09-16,1,6208
Eastern,Est,202338,2023-09-17,2023-09-23,1,1011
Labrador-Grenfell,Grenfell Labrador,202338,2023-09-17,2023-09-23,1,1014
Central,Centre,202338,2023-09-17,2023-09-23,1,1012
Western,Ouest,202338,2023-09-17,2023-09-23,1,1013
Zone 1 - Western,Zone 1 - Ouest,202338,2023-09-17,2023-09-23,1,1211
Zone 2 - Northern,Zone 2 - Nord,202338,2023-09-17,2023-09-23,2,1234
Zone 3 - Eastern,Zone 3 - Est,202338,2023-09-17,2023-09-23,1,1247
Zone 4 - Central,Zone 4 - Centrale,202338,2023-09-17,2023-09-23,1,1269
Region 1,Région de santé publique 1,202338,2023-09-17,2023-09-23,1,1301
Region 2,Région de santé publique 2,202338,2023-09-17,2023-09-23,1,1302
Region 3,Région de santé publique 3,202338,2023-09-17,2023-09-23,1,1303
Region 4,Région de santé publique 4,202338,2023-09-17,2023-09-23,1,1304
Region 5,Région de santé publique 5,202338,2023-09-17,2023-09-23,1,1305
Region 6,Région de santé publique 6,202338,2023-09-17,2023-09-23,1,1306
Region 7,Région de santé publique 7,202338,2023-09-17,2023-09-23,1,1307
Nord-est,Nord-est,202338,2023-09-17,2023-09-23,2,2410
Québec et Chaudieres-Appalaches,Québec et Chaudieres-Appalaches,202338,2023-09-17,2023-09-23,2,2412
Centre-du-Québec,Centre-du-Québec,202338,2023-09-17,2023-09-23,2,2404
Montréal et Laval,Montréal et Laval,202338,2023-09-17,2023-09-23,2,2413
Ouest-du-Québec,Ouest-du-Québec,202338,2023-09-17,2023-09-23,2,2414
Montérégie,Montérégie,202338,2023-09-17,2023-09-23,2,2416
Central East,Centre-Est,202338,2023-09-17,2023-09-23,2,3570
Central West,Centre-Ouest,202338,2023-09-17,2023-09-23,2,3527
Eastern,Est,202338,2023-09-17,2023-09-23,2,3551
North East,Nord-Est,202338,2023-09-17,2023-09-23,1,3547
North West,Nord-Ouest,202338,2023-09-17,2023-09-23,2,3549
South West,Sud-Ouest,202338,2023-09-17,2023-09-23,1,3531
Toronto,Toronto,202338,2023-09-17,2023-09-23,2,3595
North,Nord,202338,2023-09-17,2023-09-23,1,4708
Central,Centre,202338,2023-09-17,2023-09-23,2,4705
South,Sud,202338,2023-09-17,2023-09-23,2,4701
North Zone,Du nord,202338,2023-09-17,2023-09-23,2,4835
Edmonton,Edmonton,202338,2023-09-17,2023-09-23,2,4834
Central Zone,Centre,202338,2023-09-17,2023-09-23,2,4833
Calgary,Calgary,202338,2023-09-17,2023-09-23,2,4832
South Zone,Du sud,202338,2023-09-17,2023-09-23,1,4831
Interior,Intérieur,202338,2023-09-17,2023-09-23,2,5911
Fraser,Fraser,202338,2023-09-17,2023-09-23,2,5921
Vancouver Coastal,Vancouver Coastal,202338,2023-09-17,2023-09-23,3,5931
Vancouver Island,Île de Vancouver,202338,2023-09-17,2023-09-23,2,5941
Northern,Nord,202338,2023-09-17,2023-09-23,1,5951
Yukon,Yukon,202338,2023-09-17,2023-09-23,2,6001
North,Région nord des TNO,202338,2023-09-17,2023-09-23,1,6101
South,Région sud des TNO,202338,2023-09-17,2023-09-23,1,6103
Qikiqtaaluk,Qikiqtaaluk,202338,2023-09-17,2023-09-23,1,6204
Kivalliq,Kivalliq,202338,2023-09-17,2023-09-23,1,6205
Kitimeot,Kitimeot,202338,2023-09-17,2023-09-23,1,6208
Eastern,Est,202339,2023-09-24,2023-09-30,1,1011
Labrador-Grenfell,Grenfell Labrador,202339,2023-09-24,2023-09-30,1,1014
Central,Centre,202339,2023-09-24,2023-09-30,1,1012
Western,Ouest,202339,2023-09-24,2023-09-30,1,1013
Zone 1 - Western,Zone 1 - Ouest,202339,2023-09-24,2023-09-30,1,1211
Zone 2 - Northern,Zone 2 - Nord,202339,2023-09-24,2023-09-30,1,1234
Zone 3 - Eastern,Zone 3 - Est,202339,2023-09-24,2023-09-30,2,1247
Zone 4 - Central,Zone 4 - Centrale,202339,2023-09-24,2023-09-30,1,1269
Region 1,Région de santé publique 1,202339,2023-09-24,2023-09-30,1,1301
Region 2,Région de santé publique 2,202339,2023-09-24,2023-09-30,1,1302
Region 3,Région de santé publique 3,202339,2023-09-24,2023-09-30,1,1303
Region 4,Région de santé publique 4,202339,2023-09-24,2023-09-30,1,1304
Region 5,Région de santé publique 5,202339,2023-09-24,2023-09-30,2,1305
Region 6,Région de santé publique 6,202339,2023-09-24,2023-09-30,1,1306
Region 7,Région de santé publique 7,202339,2023-09-24,2023-09-30,1,1307
Nord-est,Nord-est,202339,2023-09-24,2023-09-30,2,2410
Québec et Chaudieres-Appalaches,Québec et Chaudieres-Appalaches,202339,2023-09-24,2023-09-30,2,2412
Centre-du-Québec,Centre-du-Québec,202339,2023-09-24,2023-09-30,2,2404
Montréal et Laval,Montréal et Laval,202339,2023-09-24,2023-09-30,2,2413
Ouest-du-Québec,Ouest-du-Québec,202339,2023-09-24,2023-09-30,2,2414
Montérégie,Montérégie,202339,2023-09-24,2023-09-30,2,2416
Central East,Centre-Est,202339,2023-09-24,2023-09-30,3,3570
Central West,Centre-Ouest,202339,2023-09-24,2023-09-30,2,3527
Eastern,Est,202339,2023-09-24,2023-09-30,2,3551
North East,Nord-Est,202339,2023-09-24,2023-09-30,1,3547
North West,Nord-Ouest,202339,2023-09-24,2023-09-30,2,3549
South West,Sud-Ouest,202339,2023-09-24,2023-09-30,2,3531
Toronto,Toronto,202339,2023-09-24,2023-09-30,2,3595
North,Nord,202339,2023-09-24,2023-09-30,1,4708
Central,Centre,202339,2023-09-24,2023-09-30,1,4705
South,Sud,202339,2023-09-24,2023-09-30,2,4701
North Zone,Du nord,202339,2023-09-24,2023-09-30,2,4835
Edmonton,Edmonton,202339,2023-09-24,2023-09-30,2,4834
Central Zone,Centre,202339,2023-09-24,2023-09-30,1,4833
Calgary,Calgary,202339,2023-09-24,2023-09-30,2,4832
South Zone,Du sud,202339,2023-09-24,2023-09-30,1,4831
Interior,Intérieur,202339,2023-09-24,2023-09-30,2,5911
Fraser,Fraser,202339,2023-09-24,2023-09-30,3,5921
Vancouver Coastal,Vancouver Coastal,202339,2023-09-24,2023-09-30,2,5931
Vancouver Island,Île de Vancouver,202339,2023-09-24,2023-09-30,2,5941
Northern,Nord,202339,2023-09-24,2023-09-30,2,5951
Yukon,Yukon,202339,2023-09-24,2023-09-30,2,6001
North,Région nord des TNO,202339,2023-09-24,2023-09-30,1,6101
South,Région sud des TNO,202339,2023-09-24,2023-09-30,1,6103
Qikiqtaaluk,Qikiqtaaluk,202339,2023-09-24,2023-09-30,1,6204
Kivalliq,Kivalliq,202339,2023-09-24,2023-09-30,1,6205
Kitimeot,Kitimeot,202339,2023-09-24,2023-09-30,1,6208
Eastern,Est,202340,2023-10-01,2023-10-07,1,1011
Labrador-Grenfell,Grenfell Labrador,202340,2023-10-01,2023-10-07,1,1014
Central,Centre,202340,2023-10-01,2023-10-07,1,1012
Western,Ouest,202340,2023-10-01,2023-10-07,1,1013
Zone 1 - Western,Zone 1 - Ouest,202340,2023-10-01,2023-10-07,1,1211
Zone 2 - Northern,Zone 2 - Nord,202340,2023-10-01,2023-10-07,2,1234
Zone 3 - Eastern,Zone 3 - Est,202340,2023-10-01,2023-10-07,1,1247
Zone 4 - Central,Zone 4 - Centrale,202340,2023-10-01,2023-10-07,1,1269
Region 1,Région de santé publique 1,202340,2023-10-01,2023-10-07,1,1301
Region 2,Région de santé publique 2,202340,2023-10-01,2023-10-07,3,1302
Region 3,Région de santé publique 3,202340,2023-10-01,2023-10-07,2,1303
Region 4,Région de santé publique 4,202340,2023-10-01,2023-10-07,1,1304
Region 5,Région de santé publique 5,202340,2023-10-01,2023-10-07,1,1305
Region 6,Région de santé publique 6,202340,2023-10-01,2023-10-07,1,1306
Region 7,Région de santé publique 7,202340,2023-10-01,2023-10-07,1,1307
Nord-est,Nord-est,202340,2023-10-01,2023-10-07,2,2410
Québec et Chaudieres-Appalaches,Québec et Chaudieres-Appalaches,202340,2023-10-01,2023-10-07,2,2412
Centre-du-Québec,Centre-du-Québec,202340,2023-10-01,2023-10-07,2,2404
Montréal et Laval,Montréal et Laval,202340,2023-10-01,2023-10-07,2,2413
Ouest-du-Québec,Ouest-du-Québec,202340,2023-10-01,2023-10-07,2,2414
Montérégie,Montérégie,202340,2023-10-01,2023-10-07,2,2416
Central East,Centre-Est,202340,2023-10-01,2023-10-07,3,3570
Central West,Centre-Ouest,202340,2023-10-01,2023-10-07,2,3527
Eastern,Est,202340,2023-10-01,2023-10-07,2,3551
North East,Nord-Est,202340,2023-10-01,2023-10-07,1,3547
North West,Nord-Ouest,202340,2023-10-01,2023-10-07,1,3549
South West,Sud-Ouest,202340,2023-10-01,2023-10-07,2,3531
Toronto,Toronto,202340,2023-10-01,2023-10-07,2,3595
North,Nord,202340,2023-10-01,2023-10-07,1,4708
Central,Centre,202340,2023-10-01,2023-10-07,2,4705
South,Sud,202340,2023-10-01,2023-10-07,2,4701
North Zone,Du nord,202340,2023-10-01,2023-10-07,2,4835
Edmonton,Edmonton,202340,2023-10-01,2023-10-07,2,4834
Central Zone,Centre,202340,2023-10-01,2023-10-07,2,4833
Calgary,Calgary,202340,2023-10-01,2023-10-07,3,4832
South Zone,Du sud,202340,2023-10-01,2023-10-07,1,4831
Interior,Intérieur,202340,2023-10-01,2023-10-07,2,5911
Fraser,Fraser,202340,2023-10-01,2023-10-07,2,5921
Vancouver Coastal,Vancouver Coastal,202340,2023-10-01,2023-10-07,2,5931
Vancouver Island,Île de Vancouver,202340,2023-10-01,2023-10-07,2,5941
Northern,Nord,202340,2023-10-01,2023-10-07,1,5951
Yukon,Yukon,202340,2023-10-01,2023-10-07,2,6001
North,Région nord des TNO,202340,2023-10-01,2023-10-07,1,6101
South,Région sud des TNO,202340,2023-10-01,2023-10-07,1,6103
Qikiqtaaluk,Qikiqtaaluk,202340,2023-10-01,2023-10-07,1,6204
Kivalliq,Kivalliq,202340,2023-10-01,2023-10-07,1,6205
Kitimeot,Kitimeot,202340,2023-10-01,2023-10-07,1,6208
Eastern,Est,202341,2023-10-08,2023-10-14,2,1011
Labrador-Grenfell,Grenfell Labrador,202341,2023-10-08,2023-10-14,1,1014
Central,Centre,202341,2023-10-08,2023-10-14,1,1012
Western,Ouest,202341,2023-10-08,2023-10-14,2,1013
Zone 1 - Western,Zone 1 - Ouest,202341,2023-10-08,2023-10-14,1,1211
Zone 2 - Northern,Zone 2 - Nord,202341,2023-10-08,2023-10-14,2,1234
Zone 3 - Eastern,Zone 3 - Est,202341,2023-10-08,2023-10-14,1,1247
Zone 4 - Central,Zone 4 - Centrale,202341,2023-10-08,2023-10-14,1,1269
Region 1,Région de santé publique 1,202341,2023-10-08,2023-10-14,1,1301
Region 2,Région de santé publique 2,202341,2023-10-08,2023-10-14,2,1302
Region 3,Région de santé publique 3,202341,2023-10-08,2023-10-14,1,1303
Region 4,Région de santé publique 4,202341,2023-10-08,2023-10-14,1,1304
Region 5,Région de santé publique 5,202341,2023-10-08,2023-10-14,1,1305
Region 6,Région de santé publique 6,202341,2023-10-08,2023-10-14,1,1306
Region 7,Région de santé publique 7,202341,2023-10-08,2023-10-14,1,1307
Nord-est,Nord-est,202341,2023-10-08,2023-10-14,1,2410
Québec et Chaudieres-Appalaches,Québec et Chaudieres-Appalaches,202341,2023-10-08,2023-10-14,2,2412
Centre-du-Québec,Centre-du-Québec,202341,2023-10-08,2023-10-14,2,2404
Montréal et Laval,Montréal et Laval,202341,2023-10-08,2023-10-14,2,2413
Ouest-du-Québec,Ouest-du-Québec,202341,2023-10-08,2023-10-14,2,2414
Montérégie,Montérégie,202341,2023-10-08,2023-10-14,2,2416
Central East,Centre-Est,202341,2023-10-08,2023-10-14,3,3570
Central West,Centre-Ouest,202341,2023-10-08,2023-10-14,2,3527
Eastern,Est,202341,2023-10-08,2023-10-14,2,3551
North East,Nord-Est,202341,2023-10-08,2023-10-14,2,3547
North West,Nord-Ouest,202341,2023-10-08,2023-10-14,2,3549
South West,Sud-Ouest,202341,2023-10-08,2023-10-14,2,3531
Toronto,Toronto,202341,2023-10-08,2023-10-14,2,3595
North,Nord,202341,2023-10-08,2023-10-14,2,4708
Central,Centre,202341,2023-10-08,2023-10-14,2,4705
South,Sud,202341,2023-10-08,2023-10-14,2,4701
North Zone,Du nord,202341,2023-10-08,2023-10-14,2,4835
Edmonton,Edmonton,202341,2023-10-08,2023-10-14,2,4834
Central Zone,Centre,202341,2023-10-08,2023-10-14,2,4833
Calgary,Calgary,202341,2023-10-08,2023-10-14,2,4832
South Zone,Du sud,202341,2023-10-08,2023-10-14,2,4831
Interior,Intérieur,202341,2023-10-08,2023-10-14,2,5911
Fraser,Fraser,202341,2023-10-08,2023-10-14,2,5921
Vancouver Coastal,Vancouver Coastal,202341,2023-10-08,2023-10-14,2,5931
Vancouver Island,Île de Vancouver,202341,2023-10-08,2023-10-14,2,5941
Northern,Nord,202341,2023-10-08,2023-10-14,2,5951
Yukon,Yukon,202341,2023-10-08,2023-10-14,2,6001
North,Région nord des TNO,202341,2023-10-08,2023-10-14,1,6101
South,Région sud des TNO,202341,2023-10-08,2023-10-14,1,6103
Qikiqtaaluk,Qikiqtaaluk,202341,2023-10-08,2023-10-14,1,6204
Kivalliq,Kivalliq,202341,2023-10-08,2023-10-14,1,6205
Kitimeot,Kitimeot,202341,2023-10-08,2023-10-14,1,6208
Eastern,Est,202342,2023-10-15,2023-10-21,2,1011
Labrador-Grenfell,Grenfell Labrador,202342,2023-10-15,2023-10-21,1,1014
Central,Centre,202342,2023-10-15,2023-10-21,1,1012
Western,Ouest,202342,2023-10-15,2023-10-21,2,1013
Zone 1 - Western,Zone 1 - Ouest,202342,2023-10-15,2023-10-21,1,1211
Zone 2 - Northern,Zone 2 - Nord,202342,2023-10-15,2023-10-21,2,1234
Zone 3 - Eastern,Zone 3 - Est,202342,2023-10-15,2023-10-21,1,1247
Zone 4 - Central,Zone 4 - Centrale,202342,2023-10-15,2023-10-21,2,1269
Region 1,Région de santé publique 1,202342,2023-10-15,2023-10-21,2,1301
Region 2,Région de santé publique 2,202342,2023-10-15,2023-10-21,2,1302
Region 3,Région de santé publique 3,202342,2023-10-15,2023-10-21,1,1303
Region 4,Région de santé publique 4,202342,2023-10-15,2023-10-21,1,1304
Region 5,Région de santé publique 5,202342,2023-10-15,2023-10-21,1,1305
Region 6,Région de santé publique 6,202342,2023-10-15,2023-10-21,1,1306
Region 7,Région de santé publique 7,202342,2023-10-15,2023-10-21,1,1307
Nord-est,Nord-est,202342,2023-10-15,2023-10-21,2,2410
Québec et Chaudieres-Appalaches,Québec et Chaudieres-Appalaches,202342,2023-10-15,2023-10-21,2,2412
Centre-du-Québec,Centre-du-Québec,202342,2023-10-15,2023-10-21,2,2404
Montréal et Laval,Montréal et Laval,202342,2023-10-15,2023-10-21,2,2413
Ouest-du-Québec,Ouest-du-Québec,202342,2023-10-15,2023-10-21,2,2414
Montérégie,Montérégie,202342,2023-10-15,2023-10-21,2,2416
Central East,Centre-Est,202342,2023-10-15,2023-10-21,3,3570
Central West,Centre-Ouest,202342,2023-10-15,2023-10-21,2,3527
Eastern,Est,202342,2023-10-15,2023-10-21,2,3551
North East,Nord-Est,202342,2023-10-15,2023-10-21,2,3547
North West,Nord-Ouest,202342,2023-10-15,2023-10-21,1,3549
South West,Sud-Ouest,202342,2023-10-15,2023-10-21,2,3531
Toronto,Toronto,202342,2023-10-15,2023-10-21,2,3595
North,Nord,202342,2023-10-15,2023-10-21,2,4708
Central,Centre,202342,2023-10-15,2023-10-21,2,4705
South,Sud,202342,2023-10-15,2023-10-21,2,4701
North Zone,Du nord,202342,2023-10-15,2023-10-21,2,4835
Edmonton,Edmonton,202342,2023-10-15,2023-10-21,2,4834
Central Zone,Centre,202342,2023-10-15,2023-10-21,2,4833
Calgary,Calgary,202342,2023-10-15,2023-10-21,3,4832
South Zone,Du sud,202342,2023-10-15,2023-10-21,2,4831
Interior,Intérieur,202342,2023-10-15,2023-10-21,2,5911
Fraser,Fraser,202342,2023-10-15,2023-10-21,2,5921
Vancouver Coastal,Vancouver Coastal,202342,2023-10-15,2023-10-21,2,5931
Vancouver Island,Île de Vancouver,202342,2023-10-15,2023-10-21,2,5941
Northern,Nord,202342,2023-10-15,2023-10-21,1,5951
Yukon,Yukon,202342,2023-10-15,2023-10-21,2,6001
North,Région nord des TNO,202342,2023-10-15,2023-10-21,1,6101
South,Région sud des TNO,202342,2023-10-15,2023-10-21,1,6103
Qikiqtaaluk,Qikiqtaaluk,202342,2023-10-15,2023-10-21,1,6204
Kivalliq,Kivalliq,202342,2023-10-15,2023-10-21,1,6205
Kitimeot,Kitimeot,202342,2023-10-15,2023-10-21,1,6208
Eastern,Est,202343,2023-10-22,2023-10-28,3,1011
Labrador-Grenfell,Grenfell Labrador,202343,2023-10-22,2023-10-28,1,1014
Central,Centre,202343,2023-10-22,2023-10-28,1,1012
Western,Ouest,202343,2023-10-22,2023-10-28,2,1013
Zone 1 - Western,Zone 1 - Ouest,202343,2023-10-22,2023-10-28,1,1211
Zone 2 - Northern,Zone 2 - Nord,202343,2023-10-22,2023-10-28,2,1234
Zone 3 - Eastern,Zone 3 - Est,202343,2023-10-22,2023-10-28,1,1247
Zone 4 - Central,Zone 4 - Centrale,202343,2023-10-22,2023-10-28,2,1269
Region 1,Région de santé publique 1,202343,2023-10-22,2023-10-28,2,1301
Region 2,Région de santé publique 2,202343,2023-10-22,2023-10-28,1,1302
